Designator,Mid X,Mid Y,Rotation,Layer
BT1,146.7,-77.3,0.0,bottom
C1,127.9625,-93.1,180.0,top
C2,138.2,-121.8,270.0,top
C4,140.7,-121.8,270.0,top
C5,181.1,-73.65,180.0,top
C6,156.2,-87.55,0.0,top
C7,156.3,-73.15,180.0,top
D1,128.6,-89.5,270.0,top
D2,115.8,-124.0,90.0,top
D3,123.2,-87.3,270.0,top
J1,150.2,-130.975,0.0,top
R1,129.5,-84.9,90.0,top
R10,115.2,-87.3,90.0,top
R11,118.9,-87.3,90.0,top
R12,118.9,-92.2,90.0,top
R13,123.2,-92.2,270.0,top
R14,131.8,-92.2,270.0,top
R2,121.2,-123.4,90.0,top
R3,134.4,-92.2,90.0,top
R4,120.2,-120.25,180.0,top
R5,127.5,-117.9,0.0,top
R6,119.15,-123.4,90.0,top
R8,108.6,-124.3,270.0,top
R9,115.2,-92.2,270.0,top
U1,143.1,-107.3,90.0,top
U2,120.15,-105.65,0.0,top
U3,134.5125,-121.65,0.0,top
U4,118.05,-70.5,270.0,top
U5,189.25,-70.5,0.0,top
U6,144.875,-83.074,90.0,top
U7,144.875,-67.85,90.0,top
